"";"Mes_Ano";"Valor das Exp.";"% EXP RMC/SP";"Valor das Imp.";"% IMP RMC/SP";"Saldo RMC";"Saldo SP"
"1";"ABR/21";376,37;"7.87%";1035,19;"19.57%";-658,82;-504,93
"2";"MAI/21";453,05;"8.2%";1257,71;"21.97%";-804,66;-202,29
"3";"JUN/21";384,1;"7.35%";1254,21;"22.32%";-870,11;-390,69
"4";"JUL/21";408,68;"9.04%";1394,07;"23.58%";-985,39;-1390,74
"5";"AGO/21";447,77;"9.27%";1440,67;"24.15%";-992,9;-1136,84
"6";"SET/21";459,52;"8.29%";1412,22;"23.74%";-952,69;-402,91
"7";"OUT/21";406,32;"8.61%";1341,16;"24.19%";-934,84;-826,23
"8";"NOV/21";405,5;"8.27%";1357,1;"23.4%";-951,6;-896,58
"9";"DEZ/21";432,41;"7.68%";1210,56;"21.23%";-778,15;-71,18
"10";"JAN/22";317,74;"7.41%";1204,26;"22.67%";-886,52;-1024,95
"11";"FEV/22";385,42;"7.64%";1276,72;"22.35%";-891,3;-669,37
"12";"MAR/22";463,79;"7.4%";1429,05;"21.58%";-965,26;-351,63
